target position:  -12.00,   2.00
 -13.58,  -0.52,   0.10
 -13.55,  -0.52,   0.12
 -13.52,  -0.51,   0.16
 -13.49,  -0.47,   0.18
 -13.46,  -0.42,   0.18
 -13.44,  -0.36,   0.15
 -13.42,  -0.30,   0.10
 -13.41,  -0.22,   0.08
 -13.40,  -0.15,   0.11
 -13.40,  -0.07,   0.16
 -13.40,   0.02,   0.21
 -13.40,   0.11,   0.25
 -13.41,   0.20,   0.26
 -13.41,   0.29,   0.23
 -13.40,   0.37,   0.18
 -13.40,   0.44,   0.10
 -13.38,   0.50,   0.01
 -13.37,   0.54,  -0.10
 -13.35,   0.57,  -0.22
 -13.33,   0.57,  -0.34
 -13.30,   0.56,  -0.45
 -13.28,   0.52,  -0.53
 -13.26,   0.47,  -0.50
 -13.23,   0.41,  -0.43
 -13.21,   0.34,  -0.35
 -13.19,   0.27,  -0.27
 -13.18,   0.18,  -0.17
 -13.17,   0.11,  -0.06
 -13.17,   0.03,   0.03
 -13.16,  -0.04,   0.09
 -13.17,  -0.11,   0.09
 -13.17,  -0.17,   0.07
 -13.17,  -0.24,   0.05
 -13.16,  -0.30,   0.05
 -13.16,  -0.36,   0.06
 -13.15,  -0.41,   0.07
 -13.14,  -0.46,   0.08
 -13.12,  -0.50,   0.09
 -13.09,  -0.53,   0.09
 -13.07,  -0.55,   0.09
 -13.04,  -0.56,   0.12
 -13.01,  -0.54,   0.17
 -12.98,  -0.51,   0.20
 -12.95,  -0.46,   0.20
 -12.93,  -0.40,   0.19
 -12.91,  -0.34,   0.17
 -12.90,  -0.26,   0.15
 -12.89,  -0.18,   0.16
 -12.89,  -0.10,   0.18
 -12.89,  -0.01,   0.22
 -12.89,   0.08,   0.25
 -12.90,   0.17,   0.27
 -12.90,   0.26,   0.24
 -12.90,   0.35,   0.19
 -12.89,   0.42,   0.13
 -12.88,   0.48,   0.04
 -12.87,   0.53,  -0.06
 -12.85,   0.56,  -0.17
 -12.82,   0.58,  -0.28
 -12.80,   0.57,  -0.37
 -12.78,   0.55,  -0.44
 -12.75,   0.51,  -0.42
 -12.72,   0.46,  -0.39
 -12.70,   0.39,  -0.37
 -12.68,   0.32,  -0.34
 -12.67,   0.23,  -0.29
 -12.66,   0.14,  -0.18
 -12.65,   0.06,  -0.07
 -12.65,  -0.01,   0.02
 -12.65,  -0.09,   0.05
 -12.65,  -0.16,   0.04
 -12.65,  -0.23,   0.02
 -12.65,  -0.29,   0.01
 -12.65,  -0.36,   0.01
 -12.64,  -0.42,   0.02
 -12.63,  -0.47,   0.03
 -12.61,  -0.52,   0.04
 -12.59,  -0.55,   0.04
 -12.56,  -0.58,   0.06
 -12.54,  -0.59,   0.10
 -12.51,  -0.58,   0.16
 -12.48,  -0.55,   0.20
 -12.45,  -0.51,   0.20
 -12.43,  -0.46,   0.21
 -12.41,  -0.39,   0.22
 -12.39,  -0.32,   0.22
 -12.39,  -0.24,   0.20
 -12.38,  -0.15,   0.19
 -12.38,  -0.06,   0.20
 -12.38,   0.03,   0.23
 -12.39,   0.12,   0.24
 -12.39,   0.21,   0.23
 -12.39,   0.29,   0.18
 -12.38,   0.37,   0.13
 -12.38,   0.44,   0.07
 -12.36,   0.49,   0.01
 -12.34,   0.54,  -0.06
 -12.32,   0.57,  -0.14
 -12.30,   0.58,  -0.22
 -12.27,   0.57,  -0.29
 -12.24,   0.54,  -0.31
 -12.21,   0.50,  -0.31
 -12.18,   0.45,  -0.31
 -12.16,   0.38,  -0.29
 -12.15,   0.30,  -0.27
 -12.14,   0.21,  -0.23
 -12.13,   0.13,  -0.15
 -12.13,   0.05,  -0.06
 -12.13,  -0.03,  -0.00
 -12.13,  -0.11,  -0.00
 -12.13,  -0.18,  -0.01
 -12.13,  -0.25,  -0.02
 -12.12,  -0.32,  -0.02
 -12.12,  -0.38,  -0.01
 -12.11,  -0.44,   0.01
 -12.09,  -0.49,   0.02
 -12.07,  -0.53,   0.02
 -12.04,  -0.56,   0.04
 -12.02,  -0.58,   0.09
 -11.98,  -0.57,   0.16
 -11.95,  -0.55,   0.21
 -11.93,  -0.51,   0.22
 -11.90,  -0.45,   0.25
 -11.88,  -0.38,   0.29
 -11.87,  -0.30,   0.23
 -11.86,  -0.22,   0.16
 -11.86,  -0.14,   0.12
 -11.85,  -0.06,   0.11
 -11.86,   0.03,   0.13
 -11.86,   0.11,   0.15
 -11.86,   0.20,   0.18
 -11.86,   0.28,   0.22
 -11.86,   0.36,   0.24
 -11.85,   0.44,   0.23
 -11.84,   0.51,   0.18
 -11.83,   0.57,   0.09
 -11.80,   0.61,  -0.03
 -11.78,   0.63,  -0.14
 -11.75,   0.63,  -0.23
 -11.72,   0.61,  -0.27
 -11.69,   0.58,  -0.29
 -11.67,   0.53,  -0.32
 -11.65,   0.46,  -0.33
 -11.63,   0.39,  -0.33
 -11.62,   0.30,  -0.34
 -11.61,   0.20,  -0.35
 -11.61,   0.10,  -0.34
 -11.62,   0.01,  -0.31
 -11.62,  -0.09,  -0.25
 -11.62,  -0.18,  -0.18
 -11.63,  -0.26,  -0.09
 -11.63,  -0.34,  -0.03
 -11.62,  -0.40,   0.01
 -11.61,  -0.46,   0.04
 -11.60,  -0.51,   0.06
 -11.58,  -0.55,   0.07
 -11.56,  -0.58,   0.08
 -11.53,  -0.60,   0.12
 -11.50,  -0.60,   0.19
 -11.47,  -0.58,   0.26
 -11.45,  -0.54,   0.29
 -11.42,  -0.49,   0.34
 -11.40,  -0.42,   0.42
 -11.39,  -0.33,   0.49
 -11.38,  -0.22,   0.53
 -11.39,  -0.11,   0.53
 -11.40,   0.00,   0.53
 -11.41,   0.12,   0.56
 -11.43,   0.24,   0.59
 -11.45,   0.35,   0.64
 -11.47,   0.47,   0.70
 -11.49,   0.58,   0.75
 -11.52,   0.69,   0.79
 -11.55,   0.80,   0.81
 -11.57,   0.90,   0.83
 -11.60,   1.00,   0.83
 -11.63,   1.09,   0.83
 -11.66,   1.17,   0.84
 -11.68,   1.25,   0.85
 -11.71,   1.33,   0.87
 -11.74,   1.41,   0.88
 -11.78,   1.48,   0.90
 -11.81,   1.55,   0.93
 -11.84,   1.62,   0.95
 -11.88,   1.69,   0.98
 -11.93,   1.76,   1.01
 -11.97,   1.82,   1.04
 -12.02,   1.89,   1.05
reward:  200.07
