target position:  -12.00,   2.00
 -13.63,   0.06,   0.22
 -13.63,   0.15,   0.23
 -13.63,   0.23,   0.22
 -13.62,   0.32,   0.21
 -13.61,   0.39,   0.18
 -13.60,   0.45,   0.14
 -13.57,   0.50,   0.09
 -13.55,   0.54,   0.03
 -13.52,   0.56,  -0.04
 -13.49,   0.56,  -0.08
 -13.46,   0.54,  -0.10
 -13.43,   0.50,  -0.11
 -13.40,   0.45,  -0.12
 -13.38,   0.40,  -0.12
 -13.37,   0.33,  -0.13
 -13.36,   0.25,  -0.13
 -13.35,   0.17,  -0.14
 -13.35,   0.09,  -0.14
 -13.35,   0.01,  -0.15
 -13.35,  -0.08,  -0.15
 -13.35,  -0.16,  -0.16
 -13.35,  -0.24,  -0.15
 -13.34,  -0.32,  -0.15
 -13.33,  -0.39,  -0.14
 -13.32,  -0.45,  -0.12
 -13.30,  -0.51,  -0.10
 -13.27,  -0.55,  -0.08
 -13.25,  -0.57,  -0.04
 -13.22,  -0.58,   0.01
 -13.19,  -0.57,   0.07
 -13.16,  -0.54,   0.10
 -13.13,  -0.50,   0.11
 -13.11,  -0.45,   0.12
 -13.10,  -0.38,   0.12
 -13.08,  -0.31,   0.14
 -13.08,  -0.24,   0.16
 -13.08,  -0.15,   0.19
 -13.08,  -0.07,   0.21
 -13.08,   0.02,   0.24
 -13.08,   0.11,   0.26
 -13.08,   0.20,   0.27
 -13.08,   0.29,   0.27
 -13.08,   0.38,   0.26
 -13.07,   0.45,   0.22
 -13.05,   0.51,   0.17
 -13.03,   0.57,   0.10
 -13.00,   0.60,   0.02
 -12.98,   0.61,  -0.06
 -12.95,   0.61,  -0.12
 -12.92,   0.59,  -0.14
 -12.89,   0.55,  -0.15
 -12.87,   0.50,  -0.15
 -12.85,   0.44,  -0.15
 -12.83,   0.38,  -0.15
 -12.82,   0.30,  -0.14
 -12.82,   0.22,  -0.13
 -12.82,   0.14,  -0.14
 -12.82,   0.06,  -0.14
 -12.82,  -0.03,  -0.15
 -12.82,  -0.11,  -0.16
 -12.82,  -0.19,  -0.17
 -12.81,  -0.27,  -0.16
 -12.80,  -0.35,  -0.16
 -12.79,  -0.42,  -0.15
 -12.77,  -0.48,  -0.13
 -12.74,  -0.52,  -0.12
 -12.71,  -0.55,  -0.09
 -12.68,  -0.57,  -0.04
 -12.65,  -0.56,   0.02
 -12.62,  -0.54,   0.06
 -12.60,  -0.50,   0.08
 -12.58,  -0.45,   0.09
 -12.56,  -0.39,   0.10
 -12.55,  -0.32,   0.12
 -12.54,  -0.24,   0.14
 -12.54,  -0.16,   0.17
 -12.54,  -0.07,   0.21
 -12.54,   0.02,   0.24
 -12.54,   0.11,   0.27
 -12.55,   0.20,   0.29
 -12.55,   0.29,   0.30
 -12.54,   0.38,   0.29
 -12.53,   0.45,   0.25
 -12.52,   0.52,   0.20
 -12.50,   0.58,   0.13
 -12.47,   0.61,   0.03
 -12.45,   0.63,  -0.07
 -12.42,   0.62,  -0.15
 -12.39,   0.60,  -0.19
 -12.36,   0.56,  -0.20
 -12.34,   0.51,  -0.21
 -12.32,   0.44,  -0.21
 -12.30,   0.37,  -0.20
 -12.29,   0.29,  -0.18
 -12.29,   0.21,  -0.16
 -12.29,   0.13,  -0.15
 -12.29,   0.04,  -0.15
 -12.29,  -0.04,  -0.15
 -12.29,  -0.13,  -0.16
 -12.29,  -0.21,  -0.16
 -12.28,  -0.29,  -0.16
 -12.28,  -0.37,  -0.16
 -12.26,  -0.44,  -0.16
 -12.25,  -0.50,  -0.16
 -12.22,  -0.54,  -0.15
 -12.19,  -0.58,  -0.13
 -12.17,  -0.60,  -0.08
 -12.14,  -0.60,  -0.02
 -12.11,  -0.58,   0.02
 -12.08,  -0.55,   0.05
 -12.06,  -0.51,   0.07
 -12.04,  -0.45,   0.08
 -12.03,  -0.39,   0.09
 -12.02,  -0.32,   0.11
 -12.02,  -0.24,   0.13
 -12.02,  -0.16,   0.16
 -12.02,  -0.08,   0.19
 -12.02,   0.01,   0.22
 -12.02,   0.10,   0.25
 -12.03,   0.19,   0.27
 -12.02,   0.28,   0.28
 -12.02,   0.37,   0.28
 -12.00,   0.44,   0.25
 -11.98,   0.51,   0.20
 -11.96,   0.56,   0.11
 -11.93,   0.58,  -0.01
 -11.90,   0.58,  -0.13
 -11.87,   0.56,  -0.22
 -11.84,   0.52,  -0.27
 -11.81,   0.46,  -0.29
 -11.79,   0.39,  -0.30
 -11.78,   0.31,  -0.30
 -11.77,   0.22,  -0.28
 -11.77,   0.12,  -0.25
 -11.77,   0.03,  -0.23
 -11.77,  -0.06,  -0.22
 -11.77,  -0.15,  -0.22
 -11.78,  -0.24,  -0.22
 -11.78,  -0.33,  -0.22
 -11.78,  -0.41,  -0.22
 -11.77,  -0.49,  -0.21
 -11.76,  -0.55,  -0.21
 -11.75,  -0.62,  -0.21
 -11.73,  -0.67,  -0.20
 -11.71,  -0.71,  -0.17
 -11.69,  -0.74,  -0.11
 -11.67,  -0.75,  -0.05
 -11.64,  -0.74,   0.02
 -11.62,  -0.72,   0.06
 -11.60,  -0.69,   0.09
 -11.58,  -0.65,   0.10
 -11.57,  -0.60,   0.11
 -11.56,  -0.54,   0.12
 -11.55,  -0.47,   0.12
 -11.55,  -0.40,   0.14
 -11.55,  -0.32,   0.15
 -11.56,  -0.24,   0.17
 -11.56,  -0.16,   0.20
 -11.57,  -0.07,   0.22
 -11.57,   0.02,   0.25
 -11.57,   0.12,   0.28
 -11.57,   0.21,   0.30
 -11.56,   0.30,   0.33
 -11.54,   0.38,   0.33
 -11.52,   0.45,   0.31
 -11.49,   0.50,   0.25
 -11.45,   0.52,   0.18
 -11.42,   0.53,   0.10
 -11.39,   0.51,   0.02
 -11.36,   0.47,  -0.08
 -11.34,   0.42,  -0.18
 -11.32,   0.34,  -0.25
 -11.31,   0.25,  -0.29
 -11.31,   0.16,  -0.32
 -11.31,   0.06,  -0.34
 -11.32,  -0.04,  -0.36
 -11.33,  -0.15,  -0.36
 -11.33,  -0.25,  -0.35
 -11.34,  -0.34,  -0.34
 -11.34,  -0.43,  -0.32
 -11.34,  -0.51,  -0.30
 -11.33,  -0.59,  -0.29
 -11.32,  -0.66,  -0.29
 -11.31,  -0.71,  -0.27
 -11.30,  -0.76,  -0.24
 -11.28,  -0.79,  -0.18
 -11.26,  -0.81,  -0.11
 -11.23,  -0.82,  -0.04
 -11.21,  -0.81,   0.00
 -11.20,  -0.79,   0.04
 -11.18,  -0.76,   0.06
 -11.17,  -0.72,   0.07
 -11.16,  -0.67,   0.08
 -11.15,  -0.61,   0.08
 -11.15,  -0.55,   0.09
 -11.15,  -0.49,   0.09
 -11.15,  -0.42,   0.10
 -11.16,  -0.35,   0.12
 -11.16,  -0.27,   0.14
 -11.17,  -0.18,   0.17
 -11.18,  -0.09,   0.22
 -11.18,   0.00,   0.29
 -11.18,   0.10,   0.36
 -11.18,   0.20,   0.43
 -11.17,   0.30,   0.49
 -11.15,   0.38,   0.50
 -11.13,   0.45,   0.48
 -11.10,   0.50,   0.43
 -11.07,   0.52,   0.38
 -11.04,   0.53,   0.34
 -11.02,   0.52,   0.29
 -10.99,   0.50,   0.24
 -10.98,   0.47,   0.18
 -10.97,   0.42,   0.12
 -10.96,   0.37,   0.06
 -10.96,   0.30,  -0.01
 -10.96,   0.23,  -0.09
 -10.96,   0.15,  -0.16
 -10.96,   0.06,  -0.23
 -10.97,  -0.04,  -0.30
 -10.97,  -0.14,  -0.35
 -10.97,  -0.23,  -0.38
 -10.97,  -0.33,  -0.41
 -10.96,  -0.42,  -0.43
 -10.94,  -0.50,  -0.44
 -10.93,  -0.57,  -0.43
 -10.90,  -0.63,  -0.39
 -10.88,  -0.67,  -0.32
 -10.85,  -0.68,  -0.24
 -10.83,  -0.69,  -0.17
 -10.81,  -0.67,  -0.11
 -10.79,  -0.65,  -0.06
 -10.77,  -0.61,  -0.02
 -10.76,  -0.56,   0.02
 -10.75,  -0.50,   0.06
 -10.75,  -0.44,   0.10
 -10.75,  -0.36,   0.16
 -10.76,  -0.28,   0.24
 -10.76,  -0.19,   0.37
 -10.78,  -0.08,   0.52
 -10.79,   0.04,   0.66
 -10.81,   0.17,   0.79
 -10.83,   0.30,   0.90
 -10.86,   0.42,   0.99
 -10.88,   0.55,   1.08
 -10.91,   0.66,   1.16
 -10.95,   0.77,   1.23
 -10.99,   0.88,   1.31
 -11.04,   0.98,   1.38
 -11.10,   1.08,   1.44
 -11.17,   1.17,   1.48
 -11.24,   1.26,   1.52
 -11.31,   1.35,   1.55
 -11.39,   1.44,   1.57
 -11.47,   1.53,   1.58
 -11.55,   1.61,   1.59
 -11.64,   1.69,   1.59
 -11.73,   1.78,   1.59
 -11.82,   1.86,   1.59
 -11.91,   1.94,   1.59
reward:  200.12
